,Date,BTC_Close,BTC_Volume,S&P500_Close,50MA,100MA,RSI,macd,macdsignal,macdhist,20WMA,21WEMA,8WEMA,ETH_Close,Gold_Close,BTC_Tdy
292,2023-09-09,25905.654297,10817356400.0,4457.49,27889.675820379995,28352.44673832998,40.00549646470783,-556.9282147865924,-636.0894542840651,79.1612394974727,28176.56473219285,27451.591733531233,27519.689070409233,1636.137817,1942.7,25895.677734
293,2023-09-10,25895.677734,5481314132.0,4457.49,27809.41449223999,28343.203789109983,39.906748509608875,-533.1117158790548,-615.4939066030631,82.3821907240083,28162.837430292853,27430.565868672704,27462.706216500137,1635.162354,1942.7,25832.226563
294,2023-09-11,25832.226563,7899553047.0,4457.49,27730.62296881999,28329.030156299985,39.24328479764256,-513.438350422959,-595.0827953670423,81.64444494408326,28150.27201455714,27408.966688866316,27405.496404096622,1616.828857,1942.7,25162.654297
295,2023-09-12,25162.654297,14600006467.0,4487.46,27632.185273499992,28309.905410209984,33.007079210085685,-545.5867679325929,-585.1835898801525,39.59682194755953,28133.395689221426,27378.611116003256,27326.80018981253,1551.637695,1947.2,25833.34375
296,2023-09-13,25833.34375,18657279324.0,4461.9,27565.31382817999,28297.048183649982,42.81054684236986,-511.0544689565795,-570.3577656954378,59.30329673885831,28115.72244703571,27357.72912457078,27274.39820946823,1592.429443,1935.1,26228.324219
297,2023-09-14,26228.324219,13072077070.0,4467.44,27505.33250005999,28301.730449279985,47.667471358946784,-446.66685292743205,-545.6195831418366,98.9527302144046,28100.048325942855,27342.46689611712,27237.693858925482,1607.988525,1932.5,26539.673828
298,2023-09-15,26539.673828,13811359124.0,4505.1,27449.026523499993,28294.739355529986,51.18665073804998,-366.2934886205221,-509.7543642375737,143.4608756170516,28079.090373935713,27331.618341142563,27213.201928015817,1626.974365,1932.8,26608.693359
299,2023-09-16,26608.693359,11479735788.0,4450.32,27396.986601619992,28297.366308649987,51.95790920820434,-293.6427877462156,-466.5320489393021,172.8892611930865,28059.579171364287,27321.849084627123,27191.991101032807,1641.640381,1946.2,26568.28125
300,2023-09-17,26568.28125,7402031417.0,4450.32,27341.96730473999,28297.96695317999,51.44536446581524,-236.60012438604463,-420.5456640286506,183.94553964260598,28040.434835428572,27311.66573551054,27170.10654485622,1635.22168,1946.2,26534.1875
301,2023-09-18,26534.1875,6774210670.0,4450.32,27285.512695359987,28298.50507817999,50.98838226041349,-191.93201064931782,-374.82293335278405,182.89092270346623,28020.901841564286,27301.159272868506,27147.793595913896,1622.896729,1946.2,26754.28125
